IdTarget    Name    Kind    Type    RA  Dec Redshift  Redshift_err  runs  IAUC
T05144028   SNF20050519-000 SuperNova   Ia  323.969 -26.451 0.03056  0.00010   9   SN2005mu
T05176086   SNF20050621-001 SuperNova   Ia  311.320 -3.827  0.12072  0.00011   25  SN2005mv
T05279067   SNF20051003-004 SuperNova   Ia  36.930  28.177  0.03455  0.00001   60  SN2005eu
T05279069   SNF20051003-003 SuperNova   Ia  37.771  27.702  0.01537  0.00005   8   SN2005ev
T05279077   SNF20051004-001 SuperNova   Ia  54.849  35.047  0.00906  0.00007   8   SN2005ew
T05294084   SNF20051020-000 SuperNova   Ia  63.273  -25.067 0.06500  0.00000   23  SN2005hh
T05297056   SNF20051023-000 SuperNova   Ia  40.251  16.711  0.07428  0.00015   12  SN2005hi
T05329078   SNF20051119-004 SuperNova   Ia  128.546 6.276   0.07200  0.00000   2   SN2005kv
T05329081   SNF20051120-005 SuperNova   Ia  144.025 24.404  0.07052  0.00014   8   SN2005kw
T06046088   SNF20060209-003 SuperNova   Ia  206.557 -9.131  0.05305  0.00008   21  SN2006ah
T06066101   SNF20060224-026 SuperNova   Ia  207.854 -11.257 0.10425  0.00001   11  SN2006as
T06144083   SNF20060520-007 SuperNova   Ia  218.486 3.799   0.03000  0.00006   9   SN2006bw
T06236124   SNF20060822-000 SuperNova   Ia  322.155 1.228   0.04951  0.00006   13  SN2006eq
T06236218   SNF20060821-011 SuperNova   Ia  9.749   -9.016  0.02045  0.00010   23  SN2006ej
T06255068   SNF20060906-011 SuperNova   Ia  343.772 21.101  0.07000  0.01000   13  SN2006id
T06259050   SNF20060911-013 SuperNova   Ia  333.716 -10.059 0.10049  0.00008   8   SN2006if
T06259058   SNF20060911-006 SuperNova   Ia  344.176 3.526   0.12082  0.00005   27  SN2006ie
T06261070   SNF20060913-005 SuperNova   Ia  10.159  -3.113  0.12000  0.01000   6   SN2006il
T06261078   SNF20060913-010 SuperNova   Ia  21.526  -5.732  0.09140  0.00005   10  SN2006ik
T06261084   SNF20060911-000 SuperNova   Ia  62.588  13.473  0.03654  0.00010   5   SN2006ig
T06264059   SNF20060919-008 SuperNova   Ia  1.729   -1.634  0.10000  0.01000   13  SN2006io
T06274051   SNF20060923-001 SuperNova   Ia  324.891 10.485  0.07894  0.00016   4   SN2006iq
